Outreach ID,Company ID,Company ,Visit Date,Notes,Outcome,Stage,Status,Next Visit Date,Days Since Last Visit,Next Visit Countdown,Outcome Category,Follow Up Action,Owner,Prospects Match,Contact Type,Email Sent,Competitor
LID-00008,CID-COX101,Cox Construction,02/25/2026,Constant contact; has pile ready in Waskom; high potential.,Interested (Hot),Nurture,Interested (Hot),02/25/2026,,7,Follow-Up,Schedule delivery,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00601,CID-BLC101,B L Casing,02/27/2026,Finally caught the guy in charge after grabbing his number last time. He said they are actually getting ready to clear out some old casing pipe and might need a box next week. I quoted him our premium pricing and he seemed really interested in not having to haul it himself. Put him down for a follow-up call on Tuesday.,Follow-Up,Nurture,Interested (Warm),03/13/2026,0,14,Follow-Up,See Notes,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00602,CID-CAL102,Caliber Collision,02/27/2026,"Stopped by to see if I could get the actual contact info for their corporate vendor manager since the front desk told me corporate handles it. The guy actually gave me the regional manager's email address. I'm going to send over our pricing comparison and highlight the free, covered bins to see if we can bypass their current setup.",Follow-Up,Nurture,Interested (Warm),03/13/2026,0,14,Follow-Up,See Notes,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00603,CID-MUR101,Murpheys Welding,02/27/2026,"Swung by and caught Murphey in the shop. He was upfront that he uses Tyler Iron and has his own box, but I told him I'd pay him more per ton and he wouldn't have to burn fuel to haul it himself. He told me to text him our price sheet so he can compare. Sent it to him right after I left and he said he'll look it over.",Follow-Up,Nurture,Interested (Warm),03/13/2026,0,14,Follow-Up,See Notes,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00604,CID-PRE101,Precision Junk Removal,02/27/2026,Caught up with Bailey. He said they just booked a huge property cleanout job for the end of the month and will definitely have a ton of metal and need a roll-off. I told him to give me a week's notice and I'll drop one right at the job site for him.,Interested (Hot),Nurture,Interested (Hot),03/06/2026,0,7,Interested (Hot),See Notes,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00605,CID-CAR101,Carl Owens Truckrv Collision,02/27/2026,"Popped in to double check with them about the city handling their scrap. Talked to the actual service manager this time and he clarified that the city only takes their regular trash, not the heavy truck/RV parts. Left my card and explained we could drop a bin and pay them for those parts. He seemed intrigued and kept the card.",Interested (Warm),Nurture,Interested (Warm),03/13/2026,0,14,Interested (Warm),See Notes,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00606,CID-EAS101,Easy Roofing,02/27/2026,Dropped in cold. They mostly do shingles but occasionally get some metal tear-offs. Left a card with the owner and told them we pay premium for clean aluminum and tin. They said they'd pin it on the bulletin board and call if they get a big metal job.,Follow-Up,Nurture,Interested (Warm),03/13/2026,0,14,Follow-Up,See Notes,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00607,CID-ZAV101,Zavalas Auto Detail,02/27/2026,"Stopped by, but since they strictly do detailing and wraps, they don't generate any scrap metal at all. I'm going to go ahead and cross them off the list so we don't waste time here again.",Disqualified,Lost,Disqualified,,0,,Disqualified,See Notes,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00608,CID-ALI101,Alignment King,02/27/2026,"Talked to the manager. They just throw old suspension parts in a small pile and take it to the scrapyard once a year for beer money. I offered to put a small bin out there for them, but he said it's just not enough volume to matter right now. I’ll check back in 6 months.",Not Interested,Lost,Disqualified,08/26/2026,0,180,Not Interested,See Notes,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00609,CID-SHA101,Shawn Carrol,02/27/2026,"Copper gutters, cast aluminum, brass. Waiting on pricing response. Confirmed stopping by Madfos tomorrow 11am.",Interested (Hot),Nurture,Interested (Hot),03/06/2026,0,7,Interested (Hot),Confirm Visit,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00610,CID-DRA101,Dragonslayer Industries,02/27/2026,Tiny shop doing custom signs. Won't fill a roll-off. Disqualified based on volume.,Disqualified,Lost,Disqualified,,0,,Disqualified,N/A,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00611,CID-DUK101,Duke Fabrication and Metal,02/27/2026,Called from road sign. Left message for Gerry or Gary.,No Answer,Outreach,Cold,03/02/2026,0,3,No Answer,Call Back,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-00612,CID-ALL101,Allen’s Appliance and Satellite,02/27/2026,Owner uses Matthew Crouch for scrap. No direct roll-off potential.,Disqualified,Lost,Disqualified,,0,,Disqualified,Contact Crouch,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00613,CID-MAT101,Matthew Crouch,02/27/2026,Picks up appliances. Moves 20k lbs/month to Tyler Iron. Wants residential roll-off; needs wife's OK. Needs door on bin.,Interested (Hot),Nurture,Interested (Hot),03/06/2026,0,7,Interested (Hot),Follow up Monday,Kyle Buzbee,TRUE,Visit,FALSE,Tyler Iron
LID-00614,CID-DAN101,Daniel’s Welding and Fabrication,02/27/2026,Gate closed. Left voicemail after looking up on Maps.,No Answer,Outreach,Cold,03/02/2026,0,3,No Answer,Call Back,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-00615,CID-SMI101,Smith-fab Custom Fabrication,02/27/2026,Assistant claims they utilize all metal internally and don't scrap. Left email.,Disqualified,Lost,Disqualified,,0,,Disqualified,Send Email,Kyle Buzbee,TRUE,Visit,FALSE,None
LID-00616,CID-TEX101,Texas Native Metal Works,02/27/2026,Shop closed. Left voicemail. Very small operation.,No Answer,Outreach,Cold,03/02/2026,0,3,No Answer,Call Back,Kyle Buzbee,TRUE,Phone,FALSE,None
LID-00617,CID-PRO101,Prolific Welding,02/27/2026,Aluminum welding focus. Confirmed via text: wants roll-off at house ASAP.,Account Won,Won,Active,02/28/2026,0,1,Account Won,Deploy Container,Kyle Buzbee,TRUE,Phone,FALSE,AIM
